OBJECTID *,A.T. Region Acronym,Trail Club Acronym,Campsite Name,Status,In FMSS?,FMSS Name,FMSS Location ID *,GIS ID,Type of Campsite,Number of Sites,Number of 8x8 Tentsites,Number of Constructed Tent Pads,Predominant Tent Pad Perimeter Material,Number of Constructed Tent Platforms,Predominant Tent Platform Deck Material,Number of Metal Fire Rings,Number of Mortared Fire Rings,Number of Food Boxes,Number of Food Cables,Number of Food Poles,Number of Metal Storage Boxes,Number of Plastic Storage Boxes,Number of Wooden Storage Boxes,Number of Bulletin Boards/Kiosks,Number of Directional/Wayfinding Signs,Number of Educational/Interpretative Signs,Number of Identification/Entrance Signs,Number of Regulatory/Safety Signs,Number of Bollards,Number of Boulders,Number of Cattle Guards,Number of Gates,Number of Stiles,Number of Fences,Total Fence Length Feet,Predominant Fence Material,Photos Taken?,Year Built,Comments,FMSS Quantity,Description,FBMS ID,Optimizer Band,Asset Priority Index,Historic Status,State,County,A.T. Region,Congressional District,Trail_Club,Northern Maintainer Boundary,Southern Maintainer Boundary,A.T. Maintainer Section,Wilderness Area,Ownership,Latitude,Longitude,Maximum PDOP,Maximum HDOP,Correction Type,Receiver Type,GPS Date,GPS Time,Update Status,Feature Name,Datafile,Unfiltered Positions,Filtered Positions,Data Dictionary,GPS Week,GNSS Height,Vertical Precision,Horizontal Precision,Standard Deviation,Point X,Point Y,GFID,Source,Version,Publish?,Creator,Creation Date,Editor,Edit Date,Photo1,Photo2,Photo3,Photo4,Photo5,Photo6,Photo7,Photo8,Photo9,Photo10,GlobalID *,Shape *
183,MARO,NYNJTC,Dennytown Rd Group Campsite,Official A.T. Campsite,Yes,NYNJTC Dennytown Rd Group Campsite,250571,CS548,Designated Groupsite,20,20,0,None,0,None,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,None,Yes,1997,,0.029385,NYNJTC Dennytown Rd Group Campsite,IB14001000208620001544,1,100,N,New York,PUTNAM,Mid-Atlantic,Congressional District 18,New York-New Jersey Trail Conference,Sunk Mine Rd,Catfish Loop Trail,Sunk Mine Rd to Catfish Loop Trail,N,STATE FEE - STATE OF NEW YORK - FAHNSTOCK SP,41.42149786,-73.87042237,0,0,Unknown / Not Specified,Unknown / Not Specified,<Null>,,New,Campsite,File Not Specified,0,0,Not Specified,0,0,0,0,0,-73.870422,41.421498,{2b403634-91d9-4e9b-94d8-461d5ba12e43},Supplemental GPS Data,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1cSGLHfxDLgbczH9YnXe4suX4zyLWizx0/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1ArTytQ0Ah9JnJcA2lTSShkb5_iyZ1aOE/view?usp=drivesdk,,,,,,,,,{4e000dc9-11a5-4196-900e-aeaf15368180},Point
184,MARO,NYNJTC,Hemlock Springs Campsite,Official A.T. Campsite,Yes,NYNJTC Hemlock Springs Campsite,250572,CS272,Designated Campsite,5,5,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1997,,0.007346,NYNJTC Hemlock Springs Campsite,IB14001000208620001543,1,100,N,New York,PUTNAM,Mid-Atlantic,Congressional District 18,New York-New Jersey Trail Conference,South Mountain Pass Rd,Bear Mtn Bridge,South Mountain Pass Rd to Bear Mtn Bridge,N,STATE FEE - STATE OF NEW YORK,41.32794511,-73.95579311,0,0,Unknown / Not Specified,Unknown / Not Specified,<Null>,,New,Campsite,File Not Specified,0,0,Not Specified,0,0,0,0,0,-73.955793,41.327945,{1ce4628b-da7e-410e-ad6e-a24f5264082c},Supplemental GPS Data,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1Q3fxCcx4dbjTCUSrE1aSxTFMUSJCkZx6/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1TBOua2fMMUC7C79Cvh5cXbq1EHnbgr0c/view?usp=drivesdk,,,,,,,,,{50c21485-d0bd-4198-9ca0-77b3e7eec353},Point
185,NERO,GMC,Happy Hill Shelter Campsite,Official A.T. Campsite,Yes,GMC Happy Hill Shelter Campsite,244723,CS488,Designated Campsite,2,2,0,No Info,0,No Info,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Info,No Info,1998,,0.002938,GMC Happy Hill Shelter Campsite,IB14001000208620001532,1,100,N,Vermont,WINDSOR,New England,Congressional District (at Large),Green Mountain Club,Ledyard Bridge,Happy Hill Shelter,Ledyard Bridge to Happy Hill Shelter,N,FEDERAL FEE - USFS GREEN MTN NF,43.72458311,-72.3647035,0,0,Unknown / Not Specified,Unknown / Not Specified,12/30/1899,,New,Campsite,File Not Specified,0,0,Not Specified,0,0,0,0,0,-72.364703,43.724583,{3a613e7f-fb6a-4fed-810e-ed5580c1617c},Supplemental GPS Data,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/16amv8DDHRJPF4Va8GOQf6swMllLcEiuF/view?usp=drivesdk,https://drive.google.com/file/d/150HwC26wfDlNFGs5sr-5yD6OIGae0fIH/view?usp=drivesdk,,,,,,,,,{0b691260-44a8-40df-a8a7-ba366fa1caf1},Point
186,MARO,NYNJTC,Brink Rd Shelter Campsite,Official A.T. Campsite,Yes,NYNJTC Brink Rd Shelter Campsite,102009,CS7,Designated Campsite,2,2,0,No Info,0,No Info,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Info,No,2013,"2 sites, one is large and could potentially accomodate a group",0.002938,NYNJTC Brink Rd Shelter Campsite,IB14001000208620000072,1,100,Y,New Jersey,SUSSEX,Mid-Atlantic,Congressional District 5,New York-New Jersey Trail Conference,Brink Rd,Rattlesnake Mountain,Brink Rd to Rattlesnake Mountain,N,STATE FEE - STATE OF NEW JERSEY - STOKES SF,41.15328171,-74.83818235,0,0,Unknown / Not Specified,Unknown / Not Specified,12/30/1899,,New,Campsite,File Not Specified,0,0,Not Specified,0,0,0,0,0,-74.838182,41.153282,{bdfc2509-9fa7-43db-8b02-daf605f27cf4},Supplemental GPS Data,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1YywJe9XLGPK-vUOFQhjR9OVJBpOa5hU_/view?usp=drivesdk,https://drive.google.com/file/d/1V7RcCL-GROa19ZqJAWr3GunewHtvKp8m/view?usp=drivesdk,,,,,,,,,{d0391f18-5e35-410b-8684-f76289da4cba},Point
187,NERO,MATC,Rainbow Stream Lean-to Campsite,Official A.T. Campsite,Yes,MATC Rainbow Stream Lean-to Campsite,250555,CS314,Designated Campsite,4,4,0,No Info,0,No Info,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Info,No Info,1971,Added based on existing FMSS data; Not sure we want to keep in FMSS,0.005877,MATC Rainbow Stream Lean-to Campsite,IB14001000208620001502,1,100,N,Maine,PISCATAQUIS,New England,Congressional District 2,Maine Appalachian Trail Club,Rainbow Lake Dam Side Trail,Pollywog Stream Bridge,Rainbow Lake Dam Side Trail to Pollywog Stream Bridge,N,STATE EASEMENT - STATE OF MAINE - OWNER = PRIVATE,45.79886809,-69.17025044,0,0,Unknown / Not Specified,Unknown / Not Specified,12/30/1899,,New,Campsite,File Not Specified,0,0,Not Specified,0,0,0,0,0,-69.17025,45.798868,{e242b162-b4cc-462c-92e2-70847b74b8f6},Supplemental GPS Data,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,,,,,,,,,,,{3837e43f-63b4-4f23-a3e1-4f81c8027553},Point
188,MARO,PATC,Blackburn Trail Center Group Campsite,Official A.T. Campsite,Yes,PATC Blackburn Trail Center Group Campsite,250578,CS5,Designated Groupsite,7,0,6,Dimensional Lumber,1,Dimensional Lumber,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,2017,,0.011111,PATC Blackburn Trail Center Group Campsite,IB14001000208620001550,1,100,N,Virginia,LOUDOUN,Mid-Atlantic,Congressional District 10,Potomac Appalachian Trail Club,Buzzard Rocks,south Blackburn Trail,Buzzard Rocks to south Blackburn Trail,N,FEDERAL FEE - NPS APPA,39.18956823,-77.7980504,0,0,Unknown / Not Specified,Unknown / Not Specified,<Null>,,New,Campsite,File Not Specified,0,0,Not Specified,0,0,0,0,0,-77.79805,39.189568,{ae1c16b1-e7b2-4e09-b4db-62bfd077c22c},Supplemental GPS Data,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/13a44ocXSzZlt3pkfgN5wml7GFF8wEJqN/view?usp=drivesdk,https://drive.google.com/file/d/1wcC4ghNJYomLCBxItdOz5R9VJt-CYwet/view?usp=drivesdk,,,,,,,,,{46293e29-a4f7-43c7-beb6-b3e058e80ec0},Point
189,MARO,PATC,David Lesser Memorial Shelter Campsite,Official A.T. Campsite,Yes,PATC David Lesser Memorial Shelter Campsite,250584,CS4,Designated Campsite,6,0,6,Dimensional Lumber,0,None,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,None,Yes,2005,,0.008815,PATC David Lesser Memorial Shelter Campsite,IB14001000208620001556,1,100,N,Virginia,LOUDOUN,Mid-Atlantic,Congressional District 10,Potomac Appalachian Trail Club,Keys Gap,Buzzard Rocks,Keys Gap to Buzzard Rocks,N,FEDERAL FEE - NPS APPA,39.22677705,-77.77866016,0,0,Unknown / Not Specified,Unknown / Not Specified,<Null>,,New,Campsite,File Not Specified,0,0,Not Specified,0,0,0,0,0,-77.77866,39.226777,{a4734439-71fe-46a3-96d4-c4ee7a2d3126},Supplemental GPS Data,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1KDu_K08_TDRZaIRFeCvijxUmJONM21j_/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1YrT7euh1w0w1Twp0KZTl8GGrUPEBS9bJ/view?usp=drivesdk,,,,,,,,,{3cad5719-df72-4ce2-af43-be803bf1c774},Point
190,MARO,PATC,Dahlgren Campground Campsite,Official A.T. Campsite,Yes,PATC Dahlgren Campground Campsite,250583,CS3,Designated Campsite,12,6,6,Dimensional Lumber,0,None,6,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,None,Yes,2017,,0.017631,PATC Dahlgren Campground Campsite,IB14001000208620001555,1,100,N,Maryland,FREDERICK,Mid-Atlantic,Congressional District 8,Potomac Appalachian Trail Club,Turners Gap,Firetower Road,Turners Gap to Firetower Road,N,STATE FEE - STATE OF MARYLAND,39.48122933,-77.61940204,0,0,Unknown / Not Specified,Unknown / Not Specified,<Null>,,New,Campsite,File Not Specified,0,0,Not Specified,0,0,0,0,0,-77.619402,39.481229,{88ccb75e-b692-4749-b77b-add25723ef9f},Supplemental GPS Data,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1bO04XeBSh50d_AzgW-d6tWo7BYdJKGJj/view?usp=drivesdk,https://drive.google.com/file/d/1QSDfuyeA8Z30uUCM3hxW-zhrOYZaHdfN/view?usp=drivesdk,,,,,,,,,{13b8d69e-55aa-4728-80e2-abfd5ccd8f70},Point
191,MARO,PATC,Pogo Campsite,Official A.T. Campsite,Yes,PATC Pogo Campsite,101919,CS259,Designated Campsite,18,18,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1975,,0.026446,PATC Pogo Campsite,IB14001000208620000592,1,100,Y,Maryland,WASHINGTON,Mid-Atlantic,Congressional District 6,Potomac Appalachian Trail Club,Smithsburg/Wolfsville Rd.,Black Rock Road,Smithsburg/Wolfsville Rd. to Black Rock Road,N,STATE FEE - STATE OF MARYLAND,39.5774,-77.5884,0,0,Unknown / Not Specified,Unknown / Not Specified,<Null>,,New,Campsite,File Not Specified,0,0,Not Specified,0,0,0,0,0,-77.5884,39.5774,{b8805f23-b98c-4008-aac6-42bf8b3fc3be},Supplemental GPS Data,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1cNXQCLT1_C86ft27Fv_MjlPd7IINgUZr/view?usp=drivesdk,https://drive.google.com/file/d/1fZQIm55Xlxsz2LhqpyaG2j-350dF2QV_/view?usp=drivesdk,https://drive.google.com/file/d/1-VEfq4bVntV0NHuHIlxhCJ4uIIIFW-Oo/view?usp=drivesdk,,,,,,,,{3ac6dd40-050a-4e9c-9c7a-13f1661b43bc},Point
192,MARO,PATC,Deer Lick Shelters Group Campsite,Official A.T. Campsite,Yes,PATC Deer Lick Shelters Group Campsite,250586,CS19,Designated Groupsite,2,2,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1940,,0.002938,PATC Deer Lick Shelters Group Campsite,IB14001000208620001558,1,100,N,Pennsylvania,FRANKLIN,Mid-Atlantic,Congressional District 9,Potomac Appalachian Trail Club,Rattlesnake Run Road,PA 16,Rattlesnake Run Road to PA 16,N,STATE FEE - STATE OF PENNSYLVANIA - MICHAUX SF,39.7659448,-77.48408189,0,0,Unknown / Not Specified,Unknown / Not Specified,<Null>,,New,Campsite,File Not Specified,0,0,Not Specified,0,0,0,0,0,-77.484082,39.765945,{9d0f0c94-8bf5-440c-9b72-0c49e70e528f},Supplemental GPS Data,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1TksbUj-WXI_-dQe37FjL3izxbQrEAqLy/view?usp=drivesdk,https://drive.google.com/file/d/1qAJP5jA8sOBoIYcHizDm2NbsfE613Ue5/view?usp=drivesdk,,,,,,,,,{9ed160b5-2a05-42e7-ba25-559baf6f5783},Point
193,MARO,PATC,Tumbling Run Shelters Campsite,Official A.T. Campsite,Yes,PATC Tumbling Run Shelters Campsite,250605,CS16,Designated Campsite,2,0,2,Other,0,None,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,None,Yes,2011,,0.002938,PATC Tumbling Run Shelters Campsite,IB14001000208620001576,1,100,N,Pennsylvania,FRANKLIN,Mid-Atlantic,Congressional District 9,Potomac Appalachian Trail Club,Gas Pipeline,Rattlesnake Run Road,Gas Pipeline to Rattlesnake Run Road,N,STATE FEE - STATE OF PENNSYLVANIA - MICHAUX SF,39.80519638,-77.4788112,0,0,Unknown / Not Specified,Unknown / Not Specified,<Null>,,New,Campsite,File Not Specified,0,0,Not Specified,0,0,0,0,0,-77.478811,39.805196,{f75dcde6-90a2-4073-a119-4177bcbf6661},Supplemental GPS Data,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1B8JN1yWbS7WXeg3Yw6Yalb2r19lDvF0m/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1KsS6sDZHbkeO6LsRRj8O_Tn6FWv5SzkC/view?usp=drivesdk,,,,,,,,,{e84f86a5-3414-4480-ad33-c67a2afd645e},Point
194,MARO,PATC,Rocky Mtn Shelters Campsite,Official A.T. Campsite,Yes,PATC Rocky Mtn Shelters Campsite,250601,CS13,Designated Campsite,10,10,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1989,,0.014692,PATC Rocky Mtn Shelters Campsite,IB14001000208620001571,1,100,N,Pennsylvania,FRANKLIN,Mid-Atlantic,Congressional District 9,Potomac Appalachian Trail Club,Halfway Point of Rocky Mountain,PA 233,Halfway Point of Rocky Mountain to PA 233,N,STATE FEE - STATE OF PENNSYLVANIA - MICHAUX SF,39.86870636,-77.49950058,0,0,Unknown / Not Specified,Unknown / Not Specified,<Null>,,New,Campsite,File Not Specified,0,0,Not Specified,0,0,0,0,0,-77.499501,39.868706,{3b5d60d7-478d-43cc-93ea-664a19bb7c8a},Supplemental GPS Data,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,,,,,,,,,,,{e103bf3d-6fdc-4e8b-b3b9-8489742b1bd5},Point
195,MARO,PATC,Quarry Gap Shelter Campsite,Official A.T. Campsite,Yes,PATC Quarry Gap Shelter Campsite,250597,CS15,Designated Campsite,2,0,0,None,2,Dimensional Lumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,2000,,0.004591,PATC Quarry Gap Shelter Campsite,IB14001000208620001568,1,100,N,Pennsylvania,FRANKLIN,Mid-Atlantic,Congressional District 9,Potomac Appalachian Trail Club,Quarry Gap Shelter,US 30/Caledonia State Park,Quarry Gap Shelter to US 30/Caledonia State Park,N,STATE FEE - STATE OF PENNSYLVANIA - MICHAUX SF,39.93186173,-77.4863794,0,0,Unknown / Not Specified,Unknown / Not Specified,<Null>,,New,Campsite,File Not Specified,0,0,Not Specified,0,0,0,0,0,-77.486379,39.931862,{4a9976bb-4b0e-41bf-bca9-80c4da5f99b6},Supplemental GPS Data,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1ibVMiS7Dq_wHVNzKjLyP1Xjub4ASYqAt/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/157iefavMZJeeHp4_6d2b4U1-iKl6JrJx/view?usp=drivesdk,,,,,,,,,{19252596-46ee-49f5-866b-9194d9f6e086},Point
196,MARO,PATC,Toms Run Shelter Campsite,Official A.T. Campsite,Yes,PATC Toms Run Shelter Campsite,250604,CS17,Designated Campsite,11,0,11,Dimensional Lumber,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,No,2011,,0.016162,PATC Toms Run Shelter Campsite,IB14001000208620001574,1,100,N,Pennsylvania,CUMBERLAND,Mid-Atlantic,Congressional District 11,Potomac Appalachian Trail Club,Pine Grove Furnace State Park,Woodrow Road,Pine Grove Furnace State Park to Woodrow Road,N,STATE FEE - STATE OF PENNSYLVANIA - MICHAUX SF,40.03356088,-77.3569767,0,0,Unknown / Not Specified,Unknown / Not Specified,<Null>,,New,Campsite,File Not Specified,0,0,Not Specified,0,0,0,0,0,-77.356977,40.033561,{b064b25f-b511-41bd-8c18-d3ab0cc4784c},Supplemental GPS Data,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1lrL_YHOj6RmDQVi8B2kcDnFVmYleAO85/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/12VhZKcAV1m1zteGi2O-F82PNLU7FeH6T/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1V2AU5l_Wekui7Cem3KdX1QEZKv13qc6w/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1PPPzoVcyxULJHNF1zmXHuwkf0MMlbko8/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1n5b3OEORGvia7u1FbpYUQ58zD4KqP2lc/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1tp8U6MusHaRNCAkTXFMbs0Lg07XOI1Zw/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/11PrrFz60-uRKm5SWdwn5Qp0AiSSe8xfG/view?usp=drivesdk,,,,{4a816b89-d534-4f2b-a087-443489246e5f},Point
197,MARO,CVATC,Boiling Springs Campsite,Official A.T. Campsite,Yes,CVATC Boiling Springs Campsite,250569,CS486,Designated Campsite,12,12,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1992,,0.017631,CVATC Boiling Springs Campsite,IB14001000208620001542,1,100,N,Pennsylvania,CUMBERLAND,Mid-Atlantic,Congressional District 11,Cumberland Valley Appalachian Trail Club,ATC Mid-Atlantic Regional Office,Leidigh Dr,ATC Mid-Atlantic Regional Office to Leidigh Dr,N,FEDERAL FEE - NPS APPA,40.1487853,-77.11837374,0,0,Unknown / Not Specified,Unknown / Not Specified,<Null>,,New,Campsite,File Not Specified,0,0,Not Specified,0,0,0,0,0,-77.118374,40.148785,{fa26a53a-9ccf-4df9-9042-8cd58004ca50},Supplemental GPS Data,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1uit4lkT4eNJYg9LwLDgYLrx4buy6rdEh/view?usp=drivesdk,https://drive.google.com/file/d/1MMrctJED0KFoJYurW8Xab2mkB9Eslj4f/view?usp=drivesdk,https://drive.google.com/file/d/19hIKCIQrVVRzbbfZBS3KtV28uXMXaliZ/view?usp=drivesdk,,,,,,,,{6fb6d93b-9f96-46eb-b073-fd3cc63f217c},Point
198,MARO,BMECC,Blue Mtn Campsite,Official A.T. Campsite,Yes,BMECC Blue Mtn Campsite,250565,CS11,Designated Campsite,6,6,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1968,,0.008815,BMECC Blue Mtn Campsite,IB14001000208620001537,1,100,N,Pennsylvania,SCHUYLKILL,Mid-Atlantic,Congressional District 17,Blue Mountain Eagle Climbing Club,William Penn Shelter Side Trail,Old telephone right of way(Approximate Location),William Penn Shelter Side Trail to Old telephone right of way(Approximate Location),N,STATE FEE - STATE OF PENNSYLVANIA - GAME COMMISSION - LANDS NO. 80,40.4968443,-76.4159006,0,0,Unknown / Not Specified,Unknown / Not Specified,<Null>,,New,Campsite,File Not Specified,0,0,Not Specified,0,0,0,0,0,-76.415901,40.496844,{b1577d12-8f4a-4125-af06-afee181b163d},Supplemental GPS Data,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1Rmx8mEu-I3O_eoAJ4Roc5x0NHj3_DhHL/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1jXhN3NBv3IpuPlWZ8wAIzLC1vioIRg1N/view?usp=drivesdk,,,,,,,,,{9c4fdb25-192f-4db8-ac25-8c98a7afe41c},Point
199,MARO,BMECC,Hertlein Campsite,Official A.T. Campsite,Yes,BMECC Hertlein Campsite,250567,CS461,Designated Campsite,4,2,2,Dimensional Lumber,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,No,2004,,0.005877,BMECC Hertlein Campsite,IB14001000208620001539,1,100,N,Pennsylvania,BERKS,Mid-Atlantic,Congressional District 15,Blue Mountain Eagle Climbing Club,PA 183,Schubert Gap,PA 183 to Schubert Gap,N,STATE FEE - STATE OF PENNSYLVANIA - WEISER SF,40.51051677,-76.2751774,0,0,Unknown / Not Specified,Unknown / Not Specified,<Null>,,New,Campsite,File Not Specified,0,0,Not Specified,0,0,0,0,0,-76.275177,40.510517,{0629c3e4-5849-4752-9997-04f115f2b757},Supplemental GPS Data,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1yu-HcR2UBmEbWQRbQ_iv_4Jm7PCIZT6G/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1u7kDjrwnlyCIHNqGSuB1LldKE1lFXc0L/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1KvizBam9x6oN_HtVfO88dBFIRF5vhGyh/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1o5jOT94nh_DUlWOTZHLkSqnzkdwE4DW3/view?usp=drivesdk,,,,,,,{0564617b-84e7-46a9-947c-2a8cb5aa4ac6},Point
200,MARO,BMECC,Applebee Campsite,Official A.T. Campsite,Yes,BMECC Applebee Campsite,250564,CS487,Designated Campsite,6,6,0,None,0,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1990,,0.008815,BMECC Applebee Campsite,IB14001000208620001536,1,100,N,Pennsylvania,SCHUYLKILL,Mid-Atlantic,Congressional District 17,Blue Mountain Eagle Climbing Club,Shubert Gap,PA 501,Shubert Gap to PA 501,N,FEDERAL FEE - NPS APPA,40.51554411,-76.33829248,0,0,Unknown / Not Specified,Unknown / Not Specified,<Null>,,New,Campsite,File Not Specified,0,0,Not Specified,0,0,0,0,0,-76.338292,40.515544,{c4c7d55f-c765-4ca9-a53d-782e6ba2bfc7},Supplemental GPS Data,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1NO2VgwFpxK8gUKK3xtSSbA2NX3CrxYkn/view?usp=drivesdk,https://drive.google.com/file/d/1IKRWvumBqFojmOUvcjfWZdFCxzgkQAje/view?usp=drivesdk,,,,,,,,,{9c8ccd82-1f18-43da-a70c-8369a608c156},Point
201,MARO,BMECC,Pocohontas Campsite,Official A.T. Campsite,Yes,BMECC Pocohontas Campsite,250568,CS992,Designated Campsite,4,4,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,No,1981,,0.005877,BMECC Pocohontas Campsite,IB14001000208620001540,1,100,N,Pennsylvania,BERKS,Mid-Atlantic,Congressional District 15,Blue Mountain Eagle Climbing Club,Pocahontas Spring,Port Clinton Ave,Pocahontas Spring to Port Clinton Ave,N,FEDERAL EASEMENT - NPS APPA - OWNER = BOROUGH OF HAMBURG,40.58220604,-75.98671434,0,0,Unknown / Not Specified,Unknown / Not Specified,<Null>,,New,Campsite,File Not Specified,0,0,Not Specified,0,0,0,0,0,-75.986714,40.582206,{75cb602f-6705-4676-9ebb-311fc247cdb7},Supplemental GPS Data,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1XEdAfhqToe4DFiK6scrL2c9Je1vBlYoi/view?usp=drivesdk,,,,,,,,,,{1c15611b-9f93-4220-b2ec-87f7e0897808},Point
202,MARO,AHC,New Tripoli Campsite,Official A.T. Campsite,Yes,AHC New Tripoli Campsite,250562,CS472,Designated Campsite,12,12,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,None,Yes,1979,"former shelter site, removed 1979",0.017631,AHC New Tripoli Campsite,IB14001000208620001534,1,100,N,Pennsylvania,SCHUYLKILL,Mid-Atlantic,Congressional District 17,Allentown Hiking Club,Knife Edge,PA 309,Knife Edge to PA 309,N,FEDERAL FEE - NPS APPA,40.72444,-75.785,0,0,Unknown / Not Specified,Unknown / Not Specified,<Null>,,New,Campsite,File Not Specified,0,0,Not Specified,0,0,0,0,0,-75.785,40.72444,{9dcaaea1-804b-44bd-b368-04f9c9e07b40},Supplemental GPS Data,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1I0qi-jcEJcZyVtg9wEopiJuI7CERdxHz/view?usp=drivesdk,,,,,,,,,,{ebb20f00-414a-42d7-9215-c343402fe47e},Point
